algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.1553,10342,7
QuickSort,random,1000,0.0970,16979,8
QuickSelect,random,1000,0.0215,4446,1
MergeSort,sorted,1000,0.0195,3956,7
QuickSort,sorted,1000,0.0793,18172,7
QuickSelect,sorted,1000,0.0143,4258,1
MergeSort,duplicates,1000,0.0484,9695,7
QuickSort,duplicates,1000,0.0233,5019,3
QuickSelect,duplicates,1000,0.0177,3137,1
MergeSort,random,10000,0.8495,127129,11
QuickSort,random,10000,0.5376,242620,9
QuickSelect,random,10000,0.0755,45629,1
MergeSort,sorted,10000,0.5152,59248,11
QuickSort,sorted,10000,0.3213,253027,10
QuickSelect,sorted,10000,0.0274,51629,1
MergeSort,duplicates,10000,0.5684,121547,11
QuickSort,duplicates,10000,0.0997,53087,4
QuickSelect,duplicates,10000,0.0711,32876,1
MergeSort,random,100000,6.2785,1639333,14
QuickSort,random,100000,7.8269,3147516,12
QuickSelect,random,100000,0.8314,570023,1
MergeSort,sorted,100000,1.1068,744016,14
QuickSort,sorted,100000,2.9731,3114804,12
QuickSelect,sorted,100000,0.2510,486506,1
MergeSort,duplicates,100000,2.8778,1561587,14
QuickSort,duplicates,100000,0.8912,550401,3
QuickSelect,duplicates,100000,0.6738,369489,1
MergeSort,random,1000000,67.5325,20222944,17
QuickSort,random,1000000,59.6068,36590755,14
QuickSelect,random,1000000,6.4136,4905637,1
MergeSort,sorted,1000000,12.1394,8952320,17
QuickSort,sorted,1000000,30.8055,38169184,14
QuickSelect,sorted,1000000,2.0357,3711772,1
MergeSort,duplicates,1000000,28.8421,19205468,17
QuickSort,duplicates,1000000,8.0902,5500063,3
QuickSelect,duplicates,1000000,6.1347,4501140,1
